year,month,dayofyear,time_of_day,rate_of_change,weekday,wind_chill,rel_hum_,rain,snow,is_holiday
2016,8,229,0,0.0,1,22.6,94.0,1.0,0.0,0
2016,8,229,1,0.0,1,22.475,96.25,2.0,0.0,0
2016,8,229,2,1.0,1,22.9,90.75,1.0,0.0,0
2016,8,229,3,2.0,1,25.025,84.5,1.0,0.0,0
2016,8,229,4,-6.0,1,24.85,66.75,0.0,0.0,0
2016,8,229,5,-12.0,1,21.1,74.0,0.0,0.0,0
2016,8,230,0,-10.0,2,19.65,79.75,0.0,0.0,0
2016,8,230,1,1.0,2,18.375,85.0,0.0,0.0,0
2016,8,230,2,11.0,2,20.625,79.0,0.0,0.0,0
2016,8,230,3,-2.0,2,22.325,76.25,0.0,0.0,0
2016,8,230,4,-13.0,2,22.825,82.75,0.0,0.0,0
2016,8,230,5,-21.0,2,21.950000000000003,89.75,0.0,0.0,0
2016,8,231,0,-8.0,3,21.049999999999997,94.25,0.0,0.0,0
2016,8,231,1,1.0,3,21.475,82.25,0.0,0.0,0
2016,8,231,2,10.0,3,23.924999999999997,71.5,0.0,0.0,0
2016,8,231,3,4.0,3,24.700000000000003,75.0,0.0,0.0,0
2016,8,231,4,-17.0,3,23.65,76.25,0.0,0.0,0
2016,8,231,5,-25.0,3,23.175,78.75,0.0,0.0,0
2016,8,232,0,-3.0,4,21.674999999999997,89.25,0.0,0.0,0
2016,8,232,1,0.0,4,21.225,87.25,0.0,0.0,0
2016,8,232,2,6.0,4,23.925,79.5,0.0,0.0,0
2016,8,232,3,3.0,4,25.200000000000003,74.5,0.0,0.0,0
2016,8,232,4,-10.0,4,24.7,74.5,0.0,0.0,0
2016,8,232,5,-7.0,4,23.6,83.5,0.0,0.0,0
2016,8,233,0,6.0,5,22.925,87.0,2.0,0.0,0
2016,8,233,1,2.0,5,21.8,94.25,1.0,0.0,0
2016,8,233,2,-1.0,5,23.874999999999996,89.25,0.0,0.0,0
2016,8,233,3,-4.0,5,28.0,65.5,0.0,0.0,0
2016,8,233,4,-3.0,5,26.125000000000004,76.5,0.0,0.0,0
2016,8,233,5,-10.0,5,25.475,78.75,0.0,0.0,0
2016,8,234,0,4.0,6,24.75,81.0,0.0,0.0,0
2016,8,234,1,-1.0,6,23.225,87.5,1.0,0.0,0
2016,8,234,2,0.0,6,23.200000000000003,64.75,0.0,0.0,0
2016,8,234,3,-3.0,6,25.575,50.25,0.0,0.0,0
2016,8,234,4,0.0,6,22.8,57.0,0.0,0.0,0
2016,8,234,5,-2.0,6,20.025,55.75,0.0,0.0,0
2016,8,235,0,4.0,0,17.299999999999997,67.5,0.0,0.0,0
2016,8,235,1,0.0,0,15.8,71.75,0.0,0.0,0
2016,8,235,2,1.0,0,18.275,59.5,0.0,0.0,0
2016,8,235,3,9.0,0,21.625,54.5,0.0,0.0,0
2016,8,235,4,-17.0,0,23.5,35.75,0.0,0.0,0
2016,8,235,5,-27.0,0,20.400000000000002,50.0,0.0,0.0,0
2016,8,236,0,6.0,1,18.175,68.25,0.0,0.0,0
2016,8,236,1,0.0,1,17.9,78.0,0.0,0.0,0
2016,8,236,2,7.0,1,21.525,71.25,0.0,0.0,0
2016,8,236,3,8.0,1,24.5,66.25,0.0,0.0,0
2016,8,236,4,-7.0,1,23.6,71.25,0.0,0.0,0
2016,8,236,5,-25.0,1,20.825,78.5,0.0,0.0,0
2016,8,237,0,5.0,2,19.375,84.25,0.0,0.0,0
2016,8,237,1,0.0,2,18.95,81.75,0.0,0.0,0
2016,8,237,2,9.0,2,22.85,74.75,0.0,0.0,0
2016,8,237,3,12.0,2,26.325000000000003,64.75,0.0,0.0,0
2016,8,237,4,-15.0,2,24.275,69.5,0.0,0.0,0
2016,8,237,5,-22.0,2,23.975,71.25,0.0,0.0,0
2016,8,238,0,-5.0,3,21.999999999999996,90.25,2.0,0.0,0
2016,8,238,1,1.0,3,21.525,97.5,0.0,0.0,0
2016,8,238,2,10.0,3,24.625,85.25,0.0,0.0,0
2016,8,238,3,4.0,3,25.625,77.0,0.0,0.0,0
2016,8,238,4,-6.0,3,22.4,94.5,1.0,0.0,0
2016,8,238,5,-3.0,3,21.575000000000003,96.25,0.0,0.0,0
2016,8,239,0,-2.0,4,22.2,87.75,0.0,0.0,0
2016,8,239,1,-1.0,4,21.075000000000003,88.25,0.0,0.0,0
